x px
0.1969255704 0.3396284108
-0.1395580058 0.2992689658
-0.1957357018 0.2179516905
-0.2023891608 0.1919578346
-0.1962658761 0.1814445041
-0.1653918712 0.1667365314
-0.0394352394 0.1266375804
0.2074259494 -0.0181316980
0.2633207963 -0.1609093540
0.3044832164 -0.3167296157
0.2745741800 0.3001814957
-0.1115151267 0.3138194194
-0.1713411734 0.2134749372
-0.1125159431 0.1591445539
0.1276786327 0.0684936053
0.2138371500 -0.1055096562
0.2119556207 -0.1635095875
0.2096737039 -0.1790175189
0.2108282135 -0.1840707396
0.2182414602 -0.1891275967
0.2448972901 -0.2059396169
0.2961319291 -0.2974623362
-0.2948971466 -0.3813636021
-0.4399385614 -0.2013388811
-0.2434766375 -0.3307273792
0.1294412550 -0.3357442710
0.2455028972 -0.2827006058
0.1053354102 -0.4602549796
-0.4462455335 -0.2091863299
-0.4381099758 -0.1951601898
-0.1813440576 -0.3457212951
0.1444204754 -0.2967192233
0.2010562657 -0.2195859426
0.2209423520 -0.2017505575
0.2606832254 -0.2225026713
0.2397951278 -0.3965314086
0.4810387389 -0.1363738787
0.2384791600 0.3155163415
-0.1181987889 0.2964181059
-0.1367681386 0.1935448049
0.0340597362 0.1141413766
0.2078992275 -0.0630500767
0.2168635326 -0.1533528279
0.2225018885 -0.1820312650
0.2529459541 -0.2090347497
0.2873429622 -0.3350604246
-0.4117685226 -0.2730761125
0.2970249857 0.2983493731
-0.3306694682 0.1657601106
0.2099889405 0.4452296480
-0.4885911967 0.0857577448
-0.1779271460 -0.3216275808
0.0736400833 -0.2453225047
-0.1168626165 -0.1076706419
-0.2788866906 0.1124045577
-0.2971470664 0.3553075563
-0.3033706599 -0.2634774673
0.0749685286 -0.2899665874
0.0139370151 -0.1603148111
-0.2575952346 0.0304668580
-0.3434379555 0.2731118713
-0.3200904454 -0.2481508454
0.0643617541 -0.2903559631
-0.0070715465 -0.1560770820
-0.2654572916 0.0473887178
-0.3368793025 0.2953641287
-0.2873238611 -0.2657191512
0.0582960460 -0.2720589042
-0.0783435985 -0.1310626605
-0.2761970582 0.0920517875
-0.3121243550 0.3368757908
-0.2917923101 -0.2672777662
0.0688670595 -0.2802168767
-0.0310696670 -0.1460466198
-0.2651661274 0.0645982011
-0.3328146802 0.2911765595
-0.3568171556 -0.2271997429
0.0613103615 -0.3146658587
0.0732996218 -0.1852195656
-0.1989843844 -0.0430847149
-0.3213211231 0.1739158310
0.1537479095 0.4643086181
-0.2832093810 -0.2890897346
0.1017559557 -0.3050409314
0.1236469771 -0.1931977930
-0.0748768499 -0.1014471904
-0.2103022877 0.0820431490
-0.2107930572 0.1563637291
-0.2025166714 0.1738717424
-0.1822469321 0.1707209270
-0.1048093926 0.1453105920
0.1456838795 0.0532468112
0.2188350150 -0.1146223686
0.2270205586 -0.1728362934
0.2612361756 -0.2119807024
0.2593151496 -0.3786768299
0.4860523457 -0.1162724963
0.2341288922 0.3164366911
-0.1171713112 0.2928779371
-0.1239784045 0.1882297602
0.0791320888 0.0983357733
0.2077589425 -0.0835109718
0.2008730539 -0.1528780206
0.1650659587 -0.1588756389
0.0335823250 -0.1228931767
-0.2048204616 0.0228654723
-0.2498346435 0.1556183240
-0.3046966330 0.2611722786
0.2390845696 0.4181405846
0.4795061217 0.1240550133
0.3679953775 0.2645558429
0.0083082557 0.3671904555
-0.1811087072 0.2612835764
-0.2230766298 0.2178181079
-0.2753188724 0.2454685073
-0.0331945498 0.4772748932
-0.4976725091 -0.0045035811
-0.2760223444 -0.3090310903
0.1142548035 -0.3331861522
0.2237551086 -0.2542212794
0.2822779336 -0.3095370159
-0.2535022920 -0.4027600864
-0.3413505365 -0.3010090297
-0.0339192114 -0.3751139426
0.1900514461 -0.2824259641
0.2662541806 -0.2726824816
-0.0152913285 -0.4755752838
-0.4348806448 -0.2215435285
-0.3104147475 0.0351337570
-0.2370940861 0.4326202657
-0.4090982254 -0.1397763698
-0.0030458593 -0.2966099709
-0.0867631946 -0.1455873433
-0.3091112493 0.0979173178
-0.1108325664 0.4780139924
-0.4815630840 0.0107134009
-0.1056315697 -0.3211745197
0.0002490307 -0.2000638710
-0.2855543284 0.0088959114
-0.3204731919 0.3599110951
-0.4414273968 -0.0780714122
-0.0401991649 -0.2993356109
-0.1020854310 -0.1491534404
-0.3291585943 0.1066014777
0.0705836294 0.4898775362
-0.4512300933 -0.0956826045
-0.0340397797 -0.3256749908
0.0109709439 -0.1872896287
-0.2755755235 0.0144419042
-0.3327132800 0.3352219779
-0.4705693129 0.0087661226
-0.0908584696 -0.3045322889
-0.0804997826 -0.1692763201
-0.3324436262 0.0857409761
0.0102013167 0.4967129734
-0.4094032332 -0.1533754046
0.0118406576 -0.3097777089
-0.0194933206 -0.1659671559
-0.2843226505 0.0520185937
-0.3003528407 0.3691806953
-0.4793626015 0.0668015146
-0.1250024270 -0.3085708125
-0.0404751818 -0.1908372069
-0.3169454151 0.0458374005
-0.1946504331 0.4551844567
-0.4045941112 -0.1485833833
0.0034579520 -0.2977914000
