q p curve
5.944646 5.308522 4
0.137928 5.200368 4
0.634058 4.925017 4
1.222779 4.589774 4
2.000833 4.332038 4
2.936080 4.450836 4
3.974608 4.812101 4
4.794210 5.110093 4
5.467473 5.299149 4
5.989822 5.312034 4
0.192449 5.179185 4
0.706639 4.889005 4
1.339679 4.532028 4
2.151847 4.327450 4
3.161110 4.521773 4
4.160071 4.881094 4
4.968168 5.173080 4
5.593140 5.311731 4
6.104769 5.301115 4
0.306585 5.115958 4
0.828687 4.817723 4
1.504658 4.455328 4
2.322768 4.331738 4
3.360278 4.587725 4
4.288747 4.924645 4
5.062964 5.201025 4
5.649040 5.309265 4
6.143244 5.289201 4
0.334770 5.093959 4
0.844256 4.803407 4
1.505086 4.451285 4
2.296252 4.326381 4
3.294614 4.562179 4
4.216358 4.895030 4
4.978600 5.169371 4
5.575514 5.300428 4
6.063703 5.295259 4
0.245027 5.139931 4
0.734804 4.862309 4
1.341020 4.523605 4
2.104587 4.321399 4
3.034935 4.476719 4
4.019152 4.823823 4
4.802695 5.108074 4
5.453686 5.290224 4
5.958644 5.305825 4
0.147460 5.193664 4
0.639152 4.920103 4
1.223027 4.588134 4
1.992455 4.331504 4
2.913296 4.443416 4
3.947043 4.800866 4
4.761768 5.097025 4
5.439500 5.293658 4
5.960497 5.311812 4
0.160753 5.193471 4
0.668355 4.909329 4
1.281910 4.560783 4
2.082894 4.328684 4
3.065097 4.490863 4
4.087437 4.854764 4
4.904317 5.151050 4
5.549483 5.309268 4
6.067076 5.306783 4
0.270530 5.137585 4
0.792461 4.839924 4
1.459348 4.475507 4
2.279952 4.329894 4
3.317408 4.573653 4
4.265240 4.917433 4
5.049938 5.198311 4
5.644378 5.311119 4
6.143762 5.291327 4
0.339531 5.093367 4
0.855366 4.798900 4
1.527921 4.443500 4
2.331077 4.330146 4
3.348783 4.581862 4
4.264037 4.913292 4
5.027216 5.186692 4
5.614021 5.304016 4
6.102214 5.291734 4
0.285727 5.118259 4
0.780861 4.836683 4
1.406299 4.492411 4
2.175834 4.320429 4
3.127251 4.505470 4
4.085972 4.847386 4
4.858173 5.127125 4
5.489658 5.293147 4
5.986874 5.302536 4
0.171436 5.180004 4
0.660144 4.906374 4
1.245309 4.574701 4
2.009424 4.328692 4
2.924606 4.445637 4
3.946871 4.799604 4
4.753130 5.092526 4
5.427896 5.290095 4
5.945228 5.310411 4
0.142134 5.200362 4
0.643263 4.921641 4
1.241266 4.581090 4
2.029536 4.330801 4
2.984492 4.465711 4
4.020127 4.829625 4
4.840631 5.127798 4
5.503424 5.304493 4
6.024782 5.310624 4
0.228456 5.160949 4
0.747436 4.866232 4
1.398274 4.503737 4
2.216773 4.327957 4
3.244194 4.549211 4
4.218061 4.901478 4
5.015305 5.188231 4
5.623761 5.312091 4
6.129390 5.295847 4
0.328748 5.101636 4
0.848897 4.804504 4
1.526503 4.445415 4
2.339087 4.332023 4
3.370102 4.590310 4
4.288346 4.923326 4
