q p orbit
5.319133 2.260592 2
2.938173 2.175614 2
0.708910 1.746995 2
5.217902 2.338843 2
2.896149 2.191292 2
0.751591 1.789395 2
5.319517 2.334710 2
3.120876 2.283674 2
0.937184 1.802354 2
5.510595 2.247226 2
3.368662 2.347721 2
1.063026 1.776157 2
5.580715 2.173542 2
3.368860 2.317756 2
0.988539 1.731564 2
5.458737 2.195739 2
3.119365 2.225287 2
0.796902 1.720988 2
5.271434 2.288668 2
2.894957 2.169085 2
0.700153 1.760604 2
5.227365 2.347791 2
2.940024 2.213750 2
0.797906 1.797183 2
5.375640 2.315219 2
3.205828 2.310351 2
0.989680 1.798410 2
5.550475 2.219082 2
3.400241 2.348646 2
1.062825 1.763377 2
5.563023 2.168894 2
3.314157 2.294103 2
0.935814 1.722351 2
5.401210 2.219742 2
3.036179 2.200210 2
0.750952 1.729357 2
5.237134 2.313306 2
2.876552 2.171841 2
0.709119 1.773644 2
5.254632 2.348611 2
3.004501 2.241202 2
0.853172 1.801823 2
5.434189 2.289503 2
3.283912 2.331306 2
1.031071 1.791234 2
5.575302 2.195394 2
3.406179 2.341316 2
1.044108 1.749780 2
5.529317 2.173519 2
3.241279 2.266531 2
0.877733 1.717796 2
5.343310 2.247741 2
2.964394 2.181393 2
0.718321 1.741142 2
5.219714 2.332472 2
2.884386 2.183516 2
0.735122 1.785058 2
5.296986 2.340866 2
3.083370 2.270762 2
0.911756 1.802986 2
5.488986 2.260367 2
3.347082 2.344560 2
1.057122 1.781295 2
5.582993 2.178462 2
3.385907 2.326475 2
1.008702 1.736734 2
5.482555 2.187127 2
3.157603 2.237673 2
0.820471 1.718786 2
5.291202 2.276492 2
2.911227 2.170841 2
0.701861 1.754562 2
5.220874 2.344785 2
2.917738 2.203029 2
0.775966 1.794091 2
5.350082 2.324761 2
3.168470 2.299068 2
0.967465 1.800580 2
5.534466 2.231178 2
3.389290 2.349286 2
1.065241 1.769212 2
5.572968 2.169825 2
3.341014 2.305205 2
0.960214 1.725946 2
5.427136 2.208421 2
3.072168 2.210716 2
0.769910 1.725122 2
5.250429 2.302952 2
2.881510 2.169479 2
0.702966 1.768007 2
5.240477 2.349289 2
2.973709 2.228581 2
0.827897 1.800180 2
5.408325 2.301517 2
3.250684 2.322873 2
1.014391 1.794789 2
5.566318 2.205184 2
3.406795 2.345545 2
1.054619 1.755833 2
5.546086 2.170321 2
3.275420 2.279091 2
0.903759 1.719162 2
5.368635 2.235035 2
2.994309 2.188812 2
0.730932 1.735608 2
5.225205 2.324748 2
2.877671 2.177291 2
0.721592 1.780251 2
5.276584 2.345364 2
3.047103 2.257602 2
0.885759 1.802912 2
5.465527 2.273500 2
3.321347 2.339710 2
1.047668 1.786008 2
5.581767 2.185022 2
3.398081 2.333923 2
1.026272 1.742348 2
5.504654 2.180041 2
3.195491 2.250433 2
0.845371 1.717649 2
5.313217 2.263856 2
2.932141 2.174417 2
0.707043 1.748519 2
5.218033 2.340239 2
2.899932 2.193506 2
0.756225 1.790418 2
5.325545 2.332884 2
3.130538 2.286888 2
0.943508 1.802082 2
5.515756 2.243912 2
3.373450 2.348255 2
1.063947 1.774788 2
5.579578 2.172562 2
3.363768 2.315345 2
0.983034 1.730336 2
5.452446 2.198157 2
3.109664 2.222225 2
0.791164 1.721710 2
5.266806 2.291670 2
2.891587 2.168931 2
0.700278 1.762129 2
5.229590 2.348303 2
2.946374 2.216651 2
0.803800 1.797873 2
5.382252 2.312580 2
3.215161 2.313054 2
0.995007 1.797754 2
5.554088 2.216132 2
3.402226 2.348220 2
1.061620 1.761859 2
5.559974 2.168950 2
3.306713 2.291141 2
0.929405 1.721578 2
5.394569 2.222765 2
3.027340 2.197722 2
0.746530 1.730550 2
5.234271 2.315777 2
2.876117 2.172728 2
0.711231 1.775032 2
5.258730 2.348168 2
3.012831 2.244498 2
0.859741 1.802133 2
5.440683 2.286321 2
3.291932 2.333215 2
1.034848 1.790239 2
5.577054 2.193106 2
3.405191 2.339998 2
1.040891 1.748248 2
5.524616 2.174621 2
3.232205 2.263278 2
0.871104 1.717624 2
5.337018 2.251014 2
2.957339 2.179759 2
0.715611 1.742610 2
5.218901 2.334228 2
2.886911 2.185355 2
0.739051 1.786210 2
5.302544 2.339452 2
3.092843 2.274088 2
0.918312 1.802892 2
5.494686 2.257007 2
3.352993 2.345527 2
1.058970 1.780023 2
5.582744 2.177048 2
3.382016 2.324369 2
1.003794 1.735368 2
5.476630 2.189184 2
3.147857 2.234469 2
0.814318 1.719249 2
5.285933 2.279648 2
2.906627 2.170219 2
0.701094 1.756106 2
5.222185 2.345700 2
2.923007 2.205655 2
0.781365 1.794936 2
5.356520 2.322458 2
3.178078 2.302039 2
0.973311 1.800090 2
5.538815 2.228025 2
3.392554 2.349280 2
1.064977 1.767746 2
5.570744 2.169415 2
3.334541 2.302460 2
0.954125 1.724949 2
5.420565 2.211216 2
3.062821 2.207933 2
0.764846 1.726129 2
5.246736 2.305685 2
2.879756 2.169910 2
0.704208 1.769471 2
5.243784 2.349276 2
2.981251 2.231742 2
0.834247 1.800663 2
5.414958 2.298535 2
3.259398 2.325160 2
1.018914 1.793937 2
5.568923 2.202571 2
3.407131 2.344612 2
1.052267 1.754288 2
5.542075 2.170964 2
3.266962 2.275929 2
0.897140 1.718711 2
5.362101 2.238244 2
2.986364 2.186773 2
0.727425 1.736980 2
5.223461 2.326840 2
2.878896 2.178724 2
0.724747 1.781518 2
5.281558 2.344377 2
3.056186 2.260963 2
0.892408 1.802998 2
5.471657 2.270170 2
3.328276 2.341105 2
1.050406 1.784851 2
5.582413 2.183200 2
3.395453 2.332152 2
1.022061 1.740884 2
5.499209 2.181694 2
3.185913 2.247162 2
0.838925 1.717835 2
5.307418 2.267106 2
2.926388 2.173335 2
0.705396 1.750052 2
5.218406 2.341540 2
2.904026 2.195809 2
0.761027 1.791407 2
5.331673 2.330957 2
3.140216 2.290063 2
0.949752 1.801764 2
5.520763 2.240621 2
3.377938 2.348678 2
1.064629 1.773396 2
5.578217 2.171696 2
3.358382 2.312861 2
0.977395 1.729150 2
5.446083 2.200659 2
3.100009 2.219211 2
0.785550 1.722494 2
5.262357 2.294623 2
2.888539 2.168897 2
0.700631 1.763645 2
5.232041 2.348710 2
2.952983 2.219612 2
0.809802 1.798522 2
5.388887 2.309864 2
3.224393 2.315678 2
1.000183 1.797056 2
5.557503 2.213243 2
3.403880 2.347689 2
1.060178 1.760332 2
5.556722 2.169125 2
3.299043 2.288131 2
0.922935 1.720867 2
5.387931 2.225835 2
3.018661 2.195320 2
0.742285 1.731785 2
5.231629 2.318176 2
2.876020 2.173728 2
0.713561 1.776398 2
5.263018 2.347615 2
3.021337 2.247816 2
0.866344 1.802398 2
5.447119 2.283100 2
3.299749 2.335023 2
1.038422 1.789210 2
5.578583 2.190909 2
3.403867 2.338585 2
1.037462 1.746726 2
5.519752 2.175838 2
3.223003 2.260012 2
0.864495 1.717524 2
5.330810 2.254292 2
2.950534 2.178235 2
0.713113 1.744096 2
5.218327 2.335895 2
2.889762 2.187294 2
0.743166 1.787331 2
5.308233 2.337931 2
3.102383 2.277394 2
0.924823 1.802752 2
5.500259 2.253651 2
3.358627 2.346384 2
1.060584 1.778725 2
5.582268 2.175743 2
3.377811 2.322182 2
0.998723 1.734033 2
5.470600 2.191337 2
3.138103 2.231295 2
0.808260 1.719780 2
5.280818 2.282771 2
2.902334 2.169717 2
0.700553 1.757649 2
5.223733 2.346514 2
2.928561 2.208357 2
0.786900 1.795742 2
5.363016 2.320064 2
3.187635 2.304948 2
0.979036 1.799556 2
5.542983 2.224917 2
3.395496 2.349166 2
1.064472 1.766265 2
5.568306 2.169123 2
3.327808 2.299656 2
0.947942 1.724005 2
5.413964 2.214076 2
3.053586 2.205219 2
0.759937 1.727187 2
5.243249 2.308356 2
2.878337 2.170459 2
0.705674 1.770917 2
5.247300 2.349154 2
2.989009 2.234944 2
0.840665 1.801102 2
5.421569 2.295496 2
3.267952 2.327355 2
1.023254 1.793048 2
5.571313 2.200037 2
3.407130 2.343579 2
1.049689 1.752743 2
5.537881 2.171725 2
3.258331 2.272738 2
0.890506 1.718330 2
5.355615 2.241476 2
2.978632 2.184833 2
0.724116 1.738380 2
5.221951 2.328848 2
2.880455 2.180263 2
0.728106 1.782757 2
5.286690 2.343281 2
3.065387 2.264323 2
0.899048 1.803038 2
5.477688 2.266826 2
3.334957 2.342392 2
1.052921 1.783662 2
5.582830 2.181479 2
3.392499 2.330292 2
1.017664 1.739441 2
5.493631 2.183452 2
3.176273 2.243900 2
0.832542 1.718092 2
5.301742 2.270339 2
2.920920 2.172369 2
0.703972 1.751591 2
5.219020 2.342744 2
2.908427 2.198199 2
0.765989 1.792360 2
5.337892 2.328930 2
3.149895 2.293192 2
0.955907 1.801401 2
5.525611 2.237358 2
3.382120 2.348992 2
1.065070 1.771984 2
5.576633 2.170944 2
3.352709 2.310307 2
0.971630 1.728008 2
5.439654 2.203242 2
3.090412 2.216249 2
0.780066 1.723338 2
5.258092 2.297525 2
2.885818 2.168982 2
0.701211 1.765150 2
5.234716 2.349011 2
2.959842 2.222630 2
0.815905 1.799130 2
5.395534 2.307075 2
3.233511 2.318221 2
1.005203 1.796319 2
5.560717 2.210419 2
3.405200 2.347055 2
1.058500 1.758798 2
5.553271 2.169419 2
3.291158 2.285077 2
0.916414 1.720220 2
5.381307 2.228947 2
3.010153 2.193005 2
0.738222 1.733059 2
5.229212 2.320499 2
2.876260 2.174840 2
0.716105 1.777740 2
5.267489 2.346951 2
3.030007 2.251152 2
0.872972 1.802618 2
5.453490 2.279843 2
3.307353 2.336727 2
1.041789 1.788146 2
5.579889 2.188803 2
3.402208 2.337079 2
1.033827 1.745215 2
5.514732 2.177169 2
3.213687 2.256738 2
0.857915 1.717497 2
5.324693 2.257569 2
2.943986 2.176820 2
0.710828 1.745597 2
5.217994 2.337470 2
2.892935 2.189329 2
0.747464 1.788419 2
5.314046 2.336304 2
3.111978 2.280673 2
0.931278 1.802566 2
5.505698 2.250304 2
3.363978 2.347130 2
1.061963 1.777402 2
5.581565 2.174547 2
3.373298 2.319917 2
0.993497 1.732732 2
5.464474 2.193584 2
3.128353 2.228154 2
0.802305 1.720378 2
5.275863 2.285856 2
2.898353 2.169333 2
0.700240 1.759188 2
5.225514 2.347226 2
2.934394 2.211129 2
0.792565 1.796510 2
5.369560 2.317584 2
